path,strain_heterogeneity,assembly_approach
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.8_SRR1761714.cmseq.csv,5.735222277,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.100_SRR1761714.cmseq.csv,5.102407474,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.22_SRR1761714.cmseq.csv,0.133758803,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.65_SRR1761713.cmseq.csv,0.247388866,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.21_SRR1761714.cmseq.csv,0.392446455,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.107_SRR1761714.cmseq.csv,5.319148936,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.13_SRR1761714.cmseq.csv,3.947446292,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.25_SRR1761713.cmseq.csv,1.754385965,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.77_SRR1761714.cmseq.csv,0.03671214,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.24_SRR1761714.cmseq.csv,6.586253111,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.62_SRR1761714.cmseq.csv,3.838957799,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.88_SRR1761714.cmseq.csv,5.672589922,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.7_SRR1761714.cmseq.csv,4.456300016,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.6_SRR1761713.cmseq.csv,0.159976406,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761714.cmseq.csv,2.653911433,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761705.cmseq.csv,0.06103791,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.33_SRR1761713.cmseq.csv,1.645005547,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.101_SRR1761713.cmseq.csv,1.176470588,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.93_SRR1761714.cmseq.csv,4.162219851,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.17_SRR1761714.cmseq.csv,5.70482337,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.75_SRR1761714.cmseq.csv,4.584261321,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761705.cmseq.csv,4.833552755,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.63_SRR1761714.cmseq.csv,5.550674453,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.105_SRR1761713.cmseq.csv,1.740568241,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.30_SRR1761713.cmseq.csv,0.198367374,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.100_SRR1761713.cmseq.csv,5.222551929,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.8_SRR1761713.cmseq.csv,5.488141202,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761713.cmseq.csv,2.869182766,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.55_SRR1761714.cmseq.csv,0.581538685,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.102_SRR1761714.cmseq.csv,1.115736975,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.86_SRR1761714.cmseq.csv,4.740752087,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.22_SRR1761713.cmseq.csv,6.582346609,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.65_SRR1761710.cmseq.csv,6.704707561,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.107_SRR1761713.cmseq.csv,1.724137931,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.25_SRR1761710.cmseq.csv,0.923787529,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.77_SRR1761713.cmseq.csv,2.572031282,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.62_SRR1761713.cmseq.csv,0.708170124,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.88_SRR1761713.cmseq.csv,6.059707883,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.38_SRR1761705.cmseq.csv,0.819273264,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.21_SRR1761713.cmseq.csv,5.826255023,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.24_SRR1761713.cmseq.csv,2.576289867,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.13_SRR1761713.cmseq.csv,0.623448012,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.7_SRR1761713.cmseq.csv,1.109314572,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.101_SRR1761710.cmseq.csv,0.061551087,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.55_SRR1761713.cmseq.csv,4.824726724,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761710.cmseq.csv,4.752066116,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.93_SRR1761713.cmseq.csv,0.172000219,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.75_SRR1761713.cmseq.csv,0.35203926,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761702.cmseq.csv,2.685624013,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.33_SRR1761710.cmseq.csv,0.610514815,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.6_SRR1761710.cmseq.csv,4.682779456,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.17_SRR1761713.cmseq.csv,0.119494087,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761702.cmseq.csv,4.659108557,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.63_SRR1761713.cmseq.csv,5.717224764,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.100_SRR1761710.cmseq.csv,3.774560496,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.30_SRR1761710.cmseq.csv,3.856894462,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.105_SRR1761710.cmseq.csv,4.856265699,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.8_SRR1761710.cmseq.csv,5.106936651,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.102_SRR1761713.cmseq.csv,5.056110057,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.86_SRR1761713.cmseq.csv,5.884557721,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.22_SRR1761710.cmseq.csv,4.170464904,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.55_SRR1761710.cmseq.csv,1.881581219,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.65_SRR1761705.cmseq.csv,4.926489554,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761705.cmseq.csv,3.900325027,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.77_SRR1761710.cmseq.csv,3.93790231,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.88_SRR1761710.cmseq.csv,5.537125573,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.62_SRR1761710.cmseq.csv,3.375196232,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.25_SRR1761705.cmseq.csv,0.046668106,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.13_SRR1761710.cmseq.csv,5.578947368,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.7_SRR1761710.cmseq.csv,5.110274341,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.24_SRR1761710.cmseq.csv,3.579533732,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.107_SRR1761710.cmseq.csv,0.0400571,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.21_SRR1761710.cmseq.csv,4.709405199,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.75_SRR1761710.cmseq.csv,3.529937444,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.93_SRR1761710.cmseq.csv,5.19551545,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.38_SRR1761702.cmseq.csv,0.613374828,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.17_SRR1761710.cmseq.csv,6.177550232,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761702.cmseq.csv,3.89084507,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.55_SRR1761705.cmseq.csv,0.487938764,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761700.cmseq.csv,6.818181818,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.29_SRR1761714.cmseq.csv,0.498254363,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.33_SRR1761705.cmseq.csv,3.384117343,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.63_SRR1761710.cmseq.csv,4.328,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761700.cmseq.csv,6.930693069,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.6_SRR1761705.cmseq.csv,3.947247496,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.100_SRR1761705.cmseq.csv,1.898734177,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.47_SRR1761714.cmseq.csv,2.577692915,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.78_SRR1761714.cmseq.csv,3.538862353,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.71_SRR1761714.cmseq.csv,6.068503351,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.60_SRR1761714.cmseq.csv,2.113848857,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.30_SRR1761705.cmseq.csv,2.767052767,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.86_SRR1761710.cmseq.csv,4.722530049,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.102_SRR1761710.cmseq.csv,2.484365923,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.53_SRR1761714.cmseq.csv,5.199624344,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.22_SRR1761705.cmseq.csv,4.318679314,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.8_SRR1761705.cmseq.csv,6.115515289,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.105_SRR1761705.cmseq.csv,4.822274882,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.64_SRR1761714.cmseq.csv,2.612869357,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.65_SRR1761702.cmseq.csv,3.701669596,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.18_SRR1761714.cmseq.csv,2.109651458,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.77_SRR1761705.cmseq.csv,2.779219816,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.50_SRR1761714.cmseq.csv,6.39171351,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.62_SRR1761705.cmseq.csv,2.132085283,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.88_SRR1761705.cmseq.csv,6.153172867,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761700.cmseq.csv,0.42170434,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.3_SRR1761714.cmseq.csv,4.045734389,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.66_SRR1761714.cmseq.csv,3.176577922,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.36_SRR1761714.cmseq.csv,3.95869191,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.13_SRR1761705.cmseq.csv,3.500061549,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.24_SRR1761705.cmseq.csv,2.599374721,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.25_SRR1761702.cmseq.csv,8.300395257,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.55_SRR1761702.cmseq.csv,0.327930616,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.71_SRR1761713.cmseq.csv,4.79088187,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.78_SRR1761713.cmseq.csv,5.061280073,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.21_SRR1761705.cmseq.csv,4.854368932,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.107_SRR1761705.cmseq.csv,1.523229246,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.7_SRR1761705.cmseq.csv,0.122039538,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761674.cmseq.csv,12.14285714,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.104_SRR1761714.cmseq.csv,0.448603275,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.53_SRR1761713.cmseq.csv,0.388012004,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.60_SRR1761713.cmseq.csv,5.484814592,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.47_SRR1761713.cmseq.csv,3.860190904,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.75_SRR1761705.cmseq.csv,4.373542626,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.93_SRR1761705.cmseq.csv,4.060573573,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.1_SRR1761714.cmseq.csv,6.892568348,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.41_SRR1761714.cmseq.csv,3.230543319,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761674.cmseq.csv,5,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.17_SRR1761705.cmseq.csv,6.047893725,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.64_SRR1761713.cmseq.csv,2.384880894,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761664.cmseq.csv,3.03030303,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.103_SRR1761714.cmseq.csv,2.279274089,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.50_SRR1761713.cmseq.csv,5.19903536,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.29_SRR1761713.cmseq.csv,3.564292021,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.66_SRR1761713.cmseq.csv,1.302592555,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.63_SRR1761705.cmseq.csv,4.447439353,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761664.cmseq.csv,13.10679612,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.71_SRR1761710.cmseq.csv,4.195298373,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.78_SRR1761710.cmseq.csv,4.102219233,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.33_SRR1761702.cmseq.csv,5.025472596,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.26_SRR1761714.cmseq.csv,4.882585445,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.70_SRR1761664.cmseq.csv,0,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.36_SRR1761713.cmseq.csv,4.879227053,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.3_SRR1761713.cmseq.csv,6.625344353,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.94_SRR1761714.cmseq.csv,4.282246879,Co-assembly
